,RunId,iteration,Step,width,height,initial_population,initial_population2,SsAgent,SsAgentMass,SsAgentMassAvg
0,0,0,50,50,50,100,0,64,4186.0,65.40625
1,1,0,50,50,50,100,50,64,3786.0,59.15625
2,2,0,50,50,50,100,100,70,4275.0,61.07142857142857
3,3,0,50,50,50,100,150,62,3777.0,60.91935483870968
4,4,0,50,50,50,100,200,65,3233.0,49.738461538461536
5,5,1,50,50,50,100,0,62,4208.0,67.87096774193549
6,6,1,50,50,50,100,50,60,4010.0,66.83333333333333
7,7,1,50,50,50,100,100,57,3428.0,60.14035087719298
8,8,1,50,50,50,100,150,53,2973.0,56.094339622641506
9,9,1,50,50,50,100,200,72,3650.0,50.69444444444444
10,10,2,50,50,50,100,0,69,4812.0,69.73913043478261
11,11,2,50,50,50,100,50,60,4007.0,66.78333333333333
12,12,2,50,50,50,100,100,65,3849.0,59.215384615384615
13,13,2,50,50,50,100,150,58,3443.0,59.36206896551724
14,14,2,50,50,50,100,200,64,3596.0,56.1875
15,15,3,50,50,50,100,0,62,4421.0,71.30645161290323
16,16,3,50,50,50,100,50,65,4091.0,62.93846153846154
17,17,3,50,50,50,100,100,65,4050.0,62.30769230769231
18,18,3,50,50,50,100,150,58,3566.0,61.48275862068966
19,19,3,50,50,50,100,200,64,3591.0,56.109375
20,20,4,50,50,50,100,0,71,4405.0,62.04225352112676
21,21,4,50,50,50,100,50,62,3936.0,63.483870967741936
22,22,4,50,50,50,100,100,65,4023.0,61.89230769230769
23,23,4,50,50,50,100,150,53,3123.0,58.924528301886795
24,24,4,50,50,50,100,200,72,3932.0,54.611111111111114
25,25,5,50,50,50,100,0,67,4041.0,60.3134328358209
26,26,5,50,50,50,100,50,60,4302.0,71.7
27,27,5,50,50,50,100,100,74,4098.0,55.37837837837838
28,28,5,50,50,50,100,150,63,3619.0,57.44444444444444
29,29,5,50,50,50,100,200,66,3494.0,52.93939393939394
30,30,6,50,50,50,100,0,59,3970.0,67.28813559322033
31,31,6,50,50,50,100,50,64,4212.0,65.8125
32,32,6,50,50,50,100,100,75,4160.0,55.46666666666667
33,33,6,50,50,50,100,150,73,3638.0,49.83561643835616
34,34,6,50,50,50,100,200,65,3365.0,51.76923076923077
35,35,7,50,50,50,100,0,68,4281.0,62.955882352941174
36,36,7,50,50,50,100,50,65,4206.0,64.70769230769231
37,37,7,50,50,50,100,100,68,4258.0,62.61764705882353
38,38,7,50,50,50,100,150,61,3609.0,59.16393442622951
39,39,7,50,50,50,100,200,63,3239.0,51.41269841269841
40,40,8,50,50,50,100,0,66,4538.0,68.75757575757575
41,41,8,50,50,50,100,50,70,4435.0,63.357142857142854
42,42,8,50,50,50,100,100,61,3562.0,58.39344262295082
43,43,8,50,50,50,100,150,61,3037.0,49.78688524590164
44,44,8,50,50,50,100,200,68,3732.0,54.88235294117647
45,45,9,50,50,50,100,0,61,4425.0,72.54098360655738
46,46,9,50,50,50,100,50,62,3979.0,64.1774193548387
47,47,9,50,50,50,100,100,63,3951.0,62.714285714285715
48,48,9,50,50,50,100,150,71,3957.0,55.732394366197184
49,49,9,50,50,50,100,200,66,3784.0,57.333333333333336
50,50,10,50,50,50,100,0,61,4327.0,70.93442622950819
51,51,10,50,50,50,100,50,62,4192.0,67.61290322580645
52,52,10,50,50,50,100,100,68,3965.0,58.30882352941177
53,53,10,50,50,50,100,150,71,3684.0,51.88732394366197
54,54,10,50,50,50,100,200,67,3623.0,54.07462686567164
55,55,11,50,50,50,100,0,59,4291.0,72.72881355932203
56,56,11,50,50,50,100,50,67,4193.0,62.582089552238806
57,57,11,50,50,50,100,100,70,4171.0,59.58571428571429
58,58,11,50,50,50,100,150,66,3489.0,52.86363636363637
59,59,11,50,50,50,100,200,59,3165.0,53.644067796610166
60,60,12,50,50,50,100,0,67,4452.0,66.44776119402985
61,61,12,50,50,50,100,50,62,4099.0,66.11290322580645
62,62,12,50,50,50,100,100,56,3742.0,66.82142857142857
63,63,12,50,50,50,100,150,75,4058.0,54.10666666666667
64,64,12,50,50,50,100,200,62,3122.0,50.354838709677416
65,65,13,50,50,50,100,0,66,4273.0,64.74242424242425
66,66,13,50,50,50,100,50,70,4296.0,61.371428571428574
